Program type,School,School ID
Selective Enrollment Schools,Lindblom,
CTE-College and Career Academies,Manley,
Neighborhood Schools,Manley,
Military Academies,Marine,
CTE-College and Career Academies,Marshall,
Neighborhood Schools,Marshall,
CTE-College and Career Academies,Mather,
Neighborhood Schools,Mather,
Career and Technical Education (CTE),Morgan Park,
International Baccalaureate (IB),Morgan Park,
International Baccalaureate Career Certificate (IBCC),Morgan Park,
Neighborhood Schools,Morgan Park,
World Language and International Studies Program,Morgan Park,
Charter Schools,NLCP - Christiana,
Charter Schools,NLCP - Collins,
Charter Schools,Noble - Baker,
Charter Schools,Noble - Chicago Bulls,
Charter Schools,Noble - DRW Trading,
Charter Schools,Noble - Gary Comer,
Charter Schools,Noble - Golder,
Charter Schools,Noble - Hansberry,
Charter Schools,Noble - Johnson,
Charter Schools,Noble - Muchin,
Charter Schools,Noble - Noble Street,
Charter Schools,Noble - Pritzker,
Charter Schools,Noble - Pullman,
Charter Schools,Noble - Rauner,
Charter Schools,Noble - Rowe Clark,
Charter Schools,Noble - UIC,
Career and Technical Education (CTE),North-Grand,
Neighborhood Schools,North-Grand,
Career and Technical Education (CTE),Northside,
Selective Enrollment Schools,Northside,
International Baccalaureate (IB),Ogden International,
Neighborhood Schools,Orr,
Selective Enrollment Schools,Payton,
Charter Schools,Perspectives - IIT,
Charter Schools,Perspectives - Joslin,
Charter Schools,Perspectives - Leadership,
Charter Schools,Perspectives - TECH,
Neighborhood Schools,Phillips,
Military Academies,Phoenix,
Career and Technical Education (CTE),Prosser,
CTE-College and Career Academies,Prosser,
International Baccalaureate (IB),Prosser,
International Baccalaureate Career Certificate (IBCC),Prosser,
Career Academies,Prosser ,
CTE-College and Career Academies,Raby,
CTE-College and Career Academies,Richards,
Neighborhood Schools,Richards,
Military Academies,Rickover,
Career and Technical Education (CTE),Robeson,
Neighborhood Schools,Robeson,
CTE-College and Career Academies,Roosevelt,
Military Academies Within a School,Roosevelt,
Neighborhood Schools,Roosevelt,
Career and Technical Education (CTE),RTC Medical Prep,
Magnet Schools,RTC Medical Prep,
CTE-College and Career Academies,Schurz,
International Baccalaureate (IB),Schurz,
Neighborhood Schools,Schurz,
International Baccalaureate (IB),Senn,
Neighborhood Schools,Senn,
Career Academies,Simeon,
Career and Technical Education (CTE),Simeon,
CTE-College and Career Academies,Simeon,
Neighborhood Schools,Solorio,
CTE-College and Career Academies,South Shore International,
International Baccalaureate (IB),South Shore International,
Selective Enrollment Schools,South Shore International,
Career and Technical Education (CTE),Steinmetz,
International Baccalaureate (IB),Steinmetz,
Neighborhood Schools,Steinmetz,
CTE-College and Career Academies,Sullivan,
Neighborhood Schools,Sullivan,
Career and Technical Education (CTE),Taft,
International Baccalaureate (IB),Taft,
International Baccalaureate Career Certificate (IBCC),Taft,
Military Academies Within a School,Taft,
Neighborhood Schools,Taft,
Career and Technical Education (CTE),Tilden,
Neighborhood Schools,Tilden,
Charter Schools,U of C - Woodlawn,
Charter Schools,UNO - Garcia,
Charter Schools,UNO - Rogers Park,
Charter Schools,UNO - Soccer,
Charter Schools,Urban Prep - Bronzeville,
Charter Schools,Urban Prep - Englewood,
Charter Schools,Urban Prep - West,
Career and Technical Education (CTE),Von Steuben,
Magnet Schools,Von Steuben,
CTE-College and Career Academies,Washington,
International Baccalaureate (IB),Washington,
Neighborhood Schools,Washington,
CTE-College and Career Academies,Wells,
Neighborhood Schools,Wells,
CTE-College and Career Academies,Westinghouse,
Selective Enrollment Schools,Westinghouse,
Selective Enrollment Schools,Whitney Young,
Career and Technical Education (CTE),WhitneyYoung,
CTE-College and Career Academies,Williams Prep,
Charter Schools,Young Women’s Leadership,
